time,amplitude
0.652915,0.2
0.65292,0.2
0.652925,0.2
0.65293,0.2
0.652935,0.28
0.65294,0.12
0.652945,0.2
0.65295,3.8
0.652955,3.8
0.65296,3.8
0.652965,3.96
0.65297,3.88
0.652975,3.8
0.65298,3.8
0.652985,0.2
0.65299,0.2
0.652995,0.2
0.653,0.2
0.653005,0.12
0.65301,0.2
0.653015,3.8
0.65302,3.8
0.653025,3.8
0.65303,3.88
0.653035,3.8
0.65304,3.88
0.653045,0.2
0.65305,0.28
0.653055,0.2
0.65306,0.12
0.653065,0.2
0.65307,0.2
0.653075,3.88
0.65308,3.96
0.653085,3.88
0.65309,3.88
0.653095,3.96
0.6531,3.88
0.653105,3.88
0.65311,3.96
0.653115,3.88
0.65312,3.96
0.653125,3.96
0.65313,3.96
0.653135,3.96
0.65314,0.2
0.653145,0.28
0.65315,0.2
0.653155,0.2
0.65316,0.2
0.653165,0.28
0.65317,3.96
0.653175,3.88
0.65318,3.88
0.653185,3.96
0.65319,3.88
0.653195,3.88
0.6532,0.2
0.653205,0.2
0.65321,0.28
0.653215,0.2
0.65322,0.2
0.653225,0.2
0.65323,0.28
0.653235,0.2
0.65324,0.28
0.653245,0.2
0.65325,0.28
0.653255,0.2
0.65326,0.2
0.653265,3.96
0.65327,3.88
0.653275,3.8
0.65328,3.88
0.653285,3.8
0.65329,3.88
0.653295,3.88
0.6533,3.88
0.653305,3.88
0.65331,3.88
0.653315,3.96
0.65332,3.88
0.653325,0.2
0.65333,0.28
0.653335,0.2
0.65334,0.2
0.653345,0.2
0.65335,0.28
0.653355,0.2
0.65336,3.88
0.653365,3.88
0.65337,3.88
0.653375,3.88
0.65338,3.88
0.653385,3.8
0.65339,0.2
0.653395,0.2
0.6534,0.28
0.653405,0.2
0.65341,0.28
0.653415,0.2
0.65342,3.88
0.653425,3.8
0.65343,3.96
0.653435,3.8
0.65344,3.8
0.653445,3.8
0.65345,0.2
0.653455,0.28
0.65346,0.2
0.653465,0.2
0.65347,0.2
0.653475,0.2
0.65348,0.2
0.653485,0.28
0.65349,0.12
0.653495,0.2
0.6535,0.2
0.653505,0.2
0.65351,0.2
0.653515,3.88
0.65352,3.88
0.653525,3.96
0.65353,3.88
0.653535,3.88
0.65354,3.8
0.653545,0.2
0.65355,0.2
0.653555,0.28
0.65356,0.12
0.653565,0.28
0.65357,0.2
0.653575,3.88
0.65358,3.88
0.653585,3.88
0.65359,3.88
0.653595,3.96
0.6536,3.96
0.653605,3.96
0.65361,3.96
0.653615,3.96
0.65362,3.88
0.653625,3.88
0.65363,3.96
0.653635,3.96
0.65364,0.2
0.653645,0.28
0.65365,0.2
0.653655,0.2
0.65366,0.2
0.653665,0.2
0.65367,3.96
0.653675,3.88
0.65368,3.88
0.653685,3.96
0.65369,3.88
0.653695,3.96
0.6537,0.2
0.653705,0.2
0.65371,0.2
0.653715,0.2
0.65372,0.2
0.653725,0.2
0.65373,0.12
0.653735,0.2
0.65374,0.2
0.653745,0.2
0.65375,0.2
0.653755,0.2
0.65376,0.2
0.653765,3.88
0.65377,3.88
0.653775,3.88
0.65378,3.88
0.653785,3.8
0.65379,3.88
0.653795,0.2
0.6538,0.28
0.653805,0.2
0.65381,0.2
0.653815,0.28
0.65382,0.12
0.653825,3.8
0.65383,3.88
0.653835,3.8
0.65384,3.88
0.653845,3.72
0.65385,3.88
0.653855,3.8
0.65386,3.88
0.653865,3.88
0.65387,3.8
0.653875,3.88
0.65388,3.88
0.653885,3.8
0.65389,0.2
0.653895,0.2
0.6539,0.2
0.653905,0.2
0.65391,0.2
0.653915,0.2
0.65392,3.88
0.653925,3.8
0.65393,3.88
0.653935,3.88
0.65394,3.88
0.653945,3.88
0.65395,0.2
0.653955,0.2
0.65396,0.2
0.653965,0.2
0.65397,0.2
0.653975,0.2
0.65398,0.2
0.653985,0.28
0.65399,0.2
0.653995,0.28
0.654,0.2
0.654005,0.2
0.65401,0.12
0.654015,4.04
0.65402,3.88
0.654025,3.88
0.65403,3.88
0.654035,3.96
0.65404,3.88
0.654045,0.2
0.65405,0.2
0.654055,0.2
0.65406,0.2
0.654065,0.2
0.65407,0.28
0.654075,3.96
0.65408,3.88
0.654085,3.88
0.65409,3.88
0.654095,3.96
0.6541,3.96
0.654105,3.88
0.65411,4.04
0.654115,3.96
0.65412,4.04
0.654125,3.96
0.65413,3.88
